Node	Node_Name	Node_Type
D006930	Hyperalgesia	Symptom
D006935	Hypercapnia	Symptom
D006939	Hyperemesis Gravidarum	Symptom
D006941	Hyperesthesia	Symptom
D006942	Hypergammaglobulinemia	Symptom
D006948	Hyperkinesis	Symptom
D006963	Hyperphagia	Symptom
D006985	Hyperventilation	Symptom
D006987	Hypesthesia	Symptom
D007035	Hypothermia	Symptom
D007040	Hypoventilation	Symptom
D007088	Illusions	Symptom
D007383	Intermittent Claudication	Symptom
D007565	Jaundice	Symptom
D007625	Kearns-Sayre Syndrome	Symptom
D007805	Language Development Disorders	Symptom
D007806	Language Disorders	Symptom
D007859	Learning Disorders	Symptom
D008569	Memory Disorders	Symptom
D008580	Meningism	Symptom
D008607	Intellectual Disability	Symptom
D009041	Motion Sickness	Symptom
D009058	Mouth Breathing	Symptom
D009120	Muscle Cramp	Symptom
D009122	Muscle Hypertonia	Symptom
D009123	Muscle Hypotonia	Symptom
D009127	Muscle Rigidity	Symptom
D009128	Muscle Spasticity	Symptom
D009133	Muscular Atrophy	Symptom
D009155	Mutism	Symptom
D009207	Myoclonus	Symptom
D009222	Myotonia	Symptom
D009325	Nausea	Symptom
D009437	Neuralgia	Symptom
D009461	Neurologic Manifestations	Symptom
D009765	Obesity	Symptom
D009767	Obesity, Morbid	Symptom
D009846	Oliguria	Symptom
D009886	Ophthalmoplegia	Symptom
D009912	Oral Manifestations	Symptom
D010146	Pain	Symptom
D010148	Pain, Intractable	Symptom
D010149	Pain, Postoperative	Symptom
D010167	Pallor	Symptom
D010243	Paralysis	Symptom
D010264	Paraplegia	Symptom
D010291	Paresis	Symptom
D010292	Paresthesia	Symptom
D010468	Perceptual Disorders	Symptom
D010591	Phantom Limb	Symptom
D010842	Pica	Symptom
D011141	Polyuria	Symptom
D011304	Presbycusis	Symptom
D011507	Proteinuria	Symptom
D011537	Pruritus	Symptom
D011595	Psychomotor Agitation	Symptom
D011596	Psychomotor Disorders	Symptom
D011602	Psychophysiologic Disorders	Symptom
D011681	Pupil Disorders	Symptom
D011693	Purpura	Symptom
D011694	Purpura, Hyperglobulinemic	Symptom
D011695	Purpura, Schoenlein-Henoch	Symptom
D011696	Purpura, Thrombocytopenic	Symptom
D011697	Purpura, Thrombotic Thrombocytopenic	Symptom
D011782	Quadriplegia	Symptom
D012001	Hyperacusis	Symptom
D012021	Reflex, Abnormal	Symptom
D012133	Respiratory Paralysis	Symptom
D012135	Respiratory Sounds	Symptom
D012585	Sciatica	Symptom
D012607	Scotoma	Symptom
D012640	Seizures	Symptom
D012678	Sensation Disorders	Symptom
D012816	Signs and Symptoms	Symptom
D012877	Skin Manifestations	Symptom
D012892	Sleep Deprivation	Symptom
D012893	Sleep Wake Disorders	Symptom
D012912	Sneezing	Symptom
D012913	Snoring	Symptom
D013035	Spasm	Symptom
D013064	Speech Disorders	Symptom
D013226	Status Epilepticus	Symptom
D013342	Stuttering	Symptom
D013494	Supranuclear Palsy, Progressive	Symptom
D013575	Syncope	Symptom
D013651	Taste Disorders	Symptom
D013746	Tetany	Symptom
D013851	Thinness	Symptom
D014008	Tinea Pedis	Symptom
D014012	Tinnitus	Symptom
D014098	Toothache	Symptom
D014103	Torticollis	Symptom
D014202	Tremor	Symptom
D014313	Trismus	Symptom
D014474	Unconsciousness	Symptom
D014549	Urinary Incontinence	Symptom
D014550	Urinary Incontinence, Stress	Symptom
D014717	Vertigo	Symptom
D014770	Virilism	Symptom
D014786	Vision Disorders	Symptom
D014826	Vocal Cord Paralysis	Symptom
D014832	Voice Disorders	Symptom
D014839	Vomiting	Symptom
D014840	Vomiting, Anticipatory	Symptom
D014884	Waterhouse-Friderichsen Syndrome	Symptom
D015160	Hydrops Fetalis	Symptom
D015354	Vision, Low	Symptom
D015430	Weight Gain	Symptom
D015431	Weight Loss	Symptom
D015746	Abdominal Pain	Symptom
D015845	Tonic Pupil	Symptom
D015875	Anisocoria	Symptom
D015877	Miosis	Symptom
D016534	Cardiac Output, High	Symptom
D016553	Purpura, Thrombocytopenic, Idiopathic	Symptom
D016857	Hypocapnia	Symptom
D017036	Epilepsia Partialis Continua	Symptom
D017109	Akathisia, Drug-Induced	Symptom
D017116	Low Back Pain	Symptom
D017246	Ophthalmoplegia, Chronic Progressive External	Symptom
D017682	Myocardial Stunning	Symptom
D017699	Pelvic Pain	Symptom
D018437	Brown-Sequard Syndrome	Symptom
D018458	Persistent Vegetative State	Symptom
D018476	Hypokinesia	Symptom
D018489	Space Motion Sickness	Symptom
D018496	Hyperoxia	Symptom
D018589	Gastroparesis	Symptom
D018614	Sweating Sickness	Symptom
D018771	Arthralgia	Symptom
D018886	Aphasia, Conduction	Symptom
D018888	Aphasia, Primary Progressive	Symptom
D018908	Muscle Weakness	Symptom
D019080	Cafe-au-Lait Spots	Symptom
D019462	Syncope, Vasovagal	Symptom
D019547	Neck Pain	Symptom
D019569	Hemifacial Spasm	Symptom
D019575	Blindness, Cortical	Symptom
D019584	Hot Flashes	Symptom
D019588	Aging, Premature	Symptom
D019591	Pseudophakia	Symptom
D019954	Neurobehavioral Manifestations	Symptom
D020069	Shoulder Pain	Symptom
D020179	Jet Lag Syndrome	Symptom
D020233	Gait Disorders, Neurologic	Symptom
D020234	Gait Ataxia	Symptom
D020235	Gait Apraxia	Symptom
D020236	Amnesia, Transient Global	Symptom
D020237	Alexia, Pure	Symptom
D020238	Prosopagnosia	Symptom
D020240	Apraxia, Ideomotor	Symptom
D020250	Postoperative Nausea and Vomiting	Symptom
D020270	Alcohol Withdrawal Seizures	Symptom
D020323	Tics	Symptom
D020324	Amnesia, Anterograde	Symptom
D020335	Paraparesis	Symptom
D020336	Paraparesis, Spastic	Symptom
D020385	Myokymia	Symptom
D020567	Fetal Weight	Symptom
D020757	Amaurosis Fugax	Symptom
D020795	Photophobia	Symptom
D020820	Dyskinesias	Symptom
D020828	Pseudobulbar Palsy	Symptom
D020886	Somatosensory Disorders	Symptom
D020915	Korsakoff Syndrome	Symptom
D020924	Urological Manifestations	Symptom
D021501	Flank Pain	Symptom
D023341	Chills	Symptom
D034381	Hearing Loss	Symptom
D037061	Metatarsalgia	Symptom
D041781	Jaundice, Obstructive	Symptom
D045262	Reticulocytosis	Symptom
D046088	Hearing Loss, Unilateral	Symptom
D046089	Hearing Loss, Mixed Conductive-Sensorineural	Symptom
D046608	Synkinesis	Symptom
D048949	Labor Pain	Symptom
D048968	Morning Sickness	Symptom
D050177	Overweight	Symptom
D051346	Mobility Limitation	Symptom
D051474	Neuralgia, Postherpetic	Symptom
D052245	Usher Syndromes	Symptom
D053158	Nocturia	Symptom
D053159	Dysuria	Symptom
D053201	Urinary Bladder, Overactive	Symptom
D053202	Urinary Incontinence, Urge	Symptom
D053448	Prostatism	Symptom
D053565	Hypercalciuria	Symptom
D053584	Urinoma	Symptom
D053591	Pain, Referred	Symptom
D053608	Stupor	Symptom
D053609	Lethargy	Symptom
D054062	Deaf-Blind Disorders	Symptom
D054068	Livedo Reticularis	Symptom
D054160	Systolic Murmurs	Symptom
D054971	Orthostatic Intolerance	Symptom
D055111	Failed Back Surgery Syndrome	Symptom
D055154	Dysphonia	Symptom
D055665	Purpura Fulminans	Symptom
D055948	Sarcopenia	Symptom
D055955	Susac Syndrome	Symptom
D055958	Piriformis Muscle Syndrome	Symptom
D055964	Alien Hand Syndrome	Symptom
D056124	Slit Ventricle Syndrome	Symptom
D056844	Renal Colic	Symptom
D057178	Primary Progressive Nonfluent Aphasia	Symptom
D057768	Infantile Apparent Life-Threatening Event	Symptom
D057896	Striae Distensae	Symptom
D058447	Eye Pain	Symptom
D058568	Necrolytic Migratory Erythema	Symptom
D059226	Nociceptive Pain	Symptom
D059245	Transient Tachypnea of the Newborn	Symptom
D059246	Tachypnea	Symptom
D059265	Visceral Pain	Symptom
D059350	Chronic Pain	Symptom
D059352	Musculoskeletal Pain	Symptom
D059373	Mastodynia	Symptom
D059388	Pelvic Girdle Pain	Symptom
D059390	Breakthrough Pain	Symptom
D059411	Lower Urinary Tract Symptoms	Symptom
D059445	Anhedonia	Symptom
D059606	Polydipsia	Symptom
D059607	Polydipsia, Psychogenic	Symptom
D059787	Acute Pain	Symptom
D060050	Angina, Stable	Symptom
D060486	Ophthalmoplegic Migraine	Symptom
D060545	Pudendal Neuralgia	Symptom
D060705	Dyscalculia	Symptom
D062026	Alice in Wonderland Syndrome	Symptom
D062706	Prodromal Symptoms	Symptom
D063766	Pediatric Obesity	Symptom
D063806	Myalgia	Symptom
D064250	Hypertriglyceridemic Waist	Symptom
D065634	Cerebrospinal Fluid Leak	Symptom
D065635	Benign Paroxysmal Positional Vertigo	Symptom
D065906	Hyperlactatemia	Symptom
DOID:0001816	angiosarcoma	Disease
DOID:0002116	pterygium	Disease
DOID:0014667	disease of metabolism	Disease
DOID:0040098	pemphigus gestationis	Disease
DOID:0050120	hemophagocytic lymphohistiocytosis	Disease
DOID:0050127	sinusitis	Disease
DOID:0050138	podoconiosis	Disease
DOID:0050144	Kartagener syndrome	Disease
DOID:0050152	aspiration pneumonia	Disease
DOID:0050156	idiopathic pulmonary fibrosis	Disease
DOID:0050157	cryptogenic organizing pneumonia	Disease
DOID:0050175	tick-borne encephalitis	Disease
DOID:0050185	erythema multiforme	Disease
DOID:0050214	Lambert-Eaton myasthenic syndrome	Disease
DOID:0050269	Trichomonas vaginalis trichomoniasis	Disease
DOID:0050304	aniseikonia	Disease
DOID:0050328	congenital hypothyroidism	Disease
DOID:0050336	hypophosphatemia	Disease
DOID:0050424	familial adenomatous polyposis	Disease
DOID:0050425	restless legs syndrome	Disease
DOID:0050426	Stevens-Johnson syndrome	Disease
DOID:0050427	xeroderma pigmentosum	Disease
DOID:0050428	nonepidermolytic palmoplantar keratoderma	Disease
DOID:0050429	Hailey-Hailey disease	Disease
DOID:0050431	arrhythmogenic right ventricular cardiomyopathy	Disease
DOID:0050434	Andersen-Tawil syndrome	Disease
DOID:0050437	Danon disease	Disease
DOID:0050439	Usher syndrome	Disease
DOID:0050445	X-linked dominant hypophosphatemic rickets	Disease
DOID:0050450	Gitelman syndrome	Disease
DOID:0050451	Brugada syndrome	Disease
DOID:0050452	mevalonic aciduria	Disease
DOID:0050453	lissencephaly	Disease
DOID:0050454	periventricular nodular heterotopia	Disease
DOID:0050456	Buruli ulcer disease	Disease
DOID:0050459	hyperphosphatemia	Disease
DOID:0050460	Wolf-Hirschhorn syndrome	Disease
DOID:0050461	aspartylglucosaminuria	Disease
DOID:0050462	Antley-Bixler syndrome	Disease
DOID:0050466	Loeys-Dietz syndrome	Disease
DOID:0050468	yellow nail syndrome	Disease
DOID:0050469	Costello syndrome	Disease
DOID:0050473	Alstrom syndrome	Disease
DOID:0050486	exanthem	Disease
DOID:0050495	exanthema subitum	Disease
DOID:0050523	adult T-cell leukemia	Disease
DOID:0050589	inflammatory bowel disease	Disease
DOID:0050591	tooth agenesis	Disease
DOID:0050597	intestinal schistosomiasis	Disease
DOID:0050619	paranasal sinus cancer	Disease
DOID:0050632	oculocutaneous albinism	Disease
DOID:0050633	ocular albinism	Disease
DOID:0050651	atrioventricular septal defect	Disease
DOID:0050661	vitelliform macular dystrophy	Disease
DOID:0050697	chorioamnionitis	Disease
DOID:0050699	Dent disease	Disease
DOID:0050700	cardiomyopathy	Disease
DOID:0050742	nicotine dependence	Disease
DOID:0050746	mantle cell lymphoma	Disease
DOID:0050747	lymphoplasmacytic lymphoma	Disease
DOID:0050753	cerebellar ataxia	Disease
DOID:0050759	myotonic dystrophy type 2	Disease
DOID:0050765	neuroacanthocytosis	Disease
DOID:0050766	choreaacanthocytosis	Disease
DOID:0050773	paraganglioma	Disease
DOID:0050782	Zollinger-Ellison syndrome	Disease
DOID:0050783	secondary progressive multiple sclerosis	Disease
DOID:0050784	primary progressive multiple sclerosis	Disease
DOID:0050785	progressive relapsing multiple sclerosis	Disease
DOID:0050820	atrioventricular block	Disease
DOID:0050830	peripheral artery disease	Disease
DOID:0050834	CHARGE syndrome	Disease
DOID:0050835	generalized dystonia	Disease
DOID:0050847	sleep apnea	Disease
DOID:0050848	obstructive sleep apnea	Disease
DOID:0050871	fibroma	Disease
DOID:0050873	follicular lymphoma	Disease
DOID:0050876	Caroli disease	Disease
DOID:0050902	medulloblastoma	Disease
DOID:0050908	myelodysplastic syndrome	Disease
DOID:0060025	immunoglobulin alpha deficiency	Disease
DOID:0060046	aphasia	Disease
DOID:0060058	lymphoma	Disease
DOID:0060061	cutaneous T cell lymphoma	Disease
DOID:0060098	osteoblastoma	Disease
DOID:0060119	pharynx cancer	Disease
DOID:0060123	connective tissue benign neoplasm	Disease
DOID:0060125	heavy chain disease	Disease
DOID:0060160	survival motor neuron spinal muscular atrophy	Disease
DOID:0060161	Kennedy's disease	Disease
DOID:0060162	dentatorubral-pallidoluysian atrophy	Disease
DOID:0060165	Kleine-Levin syndrome	Disease
DOID:0060180	colitis	Disease
DOID:0060181	ischemic colitis	Disease
DOID:0060182	microscopic colitis	Disease
DOID:0060183	collagenous colitis	Disease
DOID:0060184	lymphocytic colitis	Disease
DOID:0060185	Clostridium difficile colitis	Disease
DOID:0060189	ileitis	Disease
DOID:0060192	Crohn's colitis	Disease
DOID:0060215	Balo concentric sclerosis	Disease
DOID:0060216	Cogan syndrome	Disease
DOID:0060224	atrial fibrillation	Disease
DOID:0060243	stuttering	Disease
DOID:0060249	scoliosis	Disease
DOID:0060260	ptosis	Disease
DOID:0060262	gallbladder disease	Disease
DOID:0060263	porencephaly	Disease
DOID:0060282	persistent hyperplastic primary vitreous	Disease
DOID:0060284	paroxysmal nocturnal hemoglobinuria	Disease
DOID:0060313	tracheomalacia	Disease
DOID:0060316	orofaciodigital syndrome I	Disease
DOID:0060317	lung abscess	Disease
DOID:0060318	acute promyelocytic leukemia	Disease
DOID:0060319	cardiac arrest	Disease
DOID:0060320	inguinal hernia	Disease
DOID:0060321	umbilical hernia	Disease
DOID:0060322	mastoiditis	Disease
DOID:0060326	myelomeningocele	Disease
DOID:0060327	omphalocele	Disease
DOID:0060328	anal fistula	Disease
DOID:0060329	ectopic pregnancy	Disease
DOID:0060345	bacillary angiomatosis	Disease
DOID:0060358	multiple acyl-CoA dehydrogenase deficiency	Disease
DOID:0060402	chromosome 17p13.1 deletion syndrome	Disease
DOID:0060469	Miller-Dieker lissencephaly syndrome	Disease
DOID:0060478	Zika fever	Disease
DOID:0060538	purpura fulminans	Disease
DOID:0060562	anomalous left coronary artery from the pulmonary artery	Disease
DOID:0060570	cardiac tuberculosis	Disease
DOID:0060643	primary sclerosing cholangitis	Disease
DOID:0060655	autosomal recessive congenital ichthyosis	Disease
DOID:0060668	anencephaly	Disease
DOID:0060688	arteriovenous malformations of the brain	Disease
DOID:0060768	Smith-Magenis syndrome	Disease
DOID:0060851	pemphigus vulgaris	Disease
DOID:0060854	autosomal recessive pseudohypoaldosteronism type 1	Disease
DOID:0060855	autosomal dominant pseudohypoaldosteronism type 1	Disease
DOID:0060857	septooptic dysplasia	Disease
DOID:0060870	isolated growth hormone deficiency	Disease
DOID:0060889	prune belly syndrome	Disease
DOID:0060901	Waldenstroem's macroglobulinemia	Disease
DOID:0060903	thrombosis	Disease
DOID:0070145	hereditary sensory and autonomic neuropathy type 5	Disease
DOID:0070146	hereditary sensory neuropathy type 4	Disease
DOID:0070161	hereditary sensory and autonomic neuropathy type 2	Disease
DOID:0070162	hereditary sensory and autonomic neuropathy type 1	Disease
DOID:0070309	absence epilepsy	Disease
DOID:0080001	bone disease	Disease
DOID:0080011	bone resorption disease	Disease
DOID:0080016	spina bifida	Disease
DOID:0080073	spina bifida occulta	Disease
DOID:0080108	myoglobinuria	Disease
DOID:0080158	herpes simplex virus keratitis	Disease
DOID:0080159	Cryptococcal meningitis	Disease
DOID:0080160	Cytomegalovirus retinitis	Disease
DOID:0080161	cutaneous candidiasis	Disease
DOID:0080162	lupus nephritis	Disease
DOID:0080169	tricuspid atresia	Disease
DOID:0080174	bladder exstrophy	Disease
DOID:0080176	meningococcal meningitis	Disease
DOID:0080177	hepatic veno-occlusive disease	Disease
DOID:0080178	mucositis	Disease
DOID:0080179	haemophilus meningitis	Disease
DOID:0080202	adenoid cystic carcinoma	Disease
DOID:0080302	mixed sleep apnea	Disease
DOID:0080365	endometrial hyperplasia	Disease
DOID:0110827	Usher syndrome type 2	Disease
DOID:0110828	Usher syndrome type 3	Disease
DOID:0110829	retinitis pigmentosa-deafness syndrome	Disease
DOID:0110938	autosomal dominant osteopetrosis 2	Disease
DOID:0110948	Waardenburg syndrome type 1	Disease
DOID:0111044	gray platelet syndrome	Disease
DOID:0111049	platelet-type bleeding disorder 17	Disease
DOID:0111078	tibial muscular dystrophy	Disease
DOID:0111147	angioimmunoblastic T-cell lymphoma	Disease
DOID:0111148	isolated ectopia lentis	Disease
DOID:0111151	Prinzmetal angina	Disease
DOID:0111154	postural orthostatic tachycardia syndrome	Disease
DOID:0111157	Castleman disease	Disease
DOID:0111158	SADDAN	Disease
DOID:0111169	subcortical band heterotopia	Disease
DOID:10003	sensorineural hearing loss	Disease
DOID:10016	multiple endocrine neoplasia type 2B	Disease
DOID:10017	multiple endocrine neoplasia type 1	Disease
DOID:1002	endometritis	Disease
DOID:10021	duodenum cancer	Disease
DOID:10024	migraine with aura	Disease
DOID:10027	tabes dorsalis	Disease
DOID:1003	pelvic inflammatory disease	Disease
DOID:10032	hyperlucent lung	Disease
DOID:10035	asymptomatic neurosyphilis	Disease
DOID:10039	late congenital syphilis	Disease
DOID:10074	hymenolepiasis	Disease
DOID:10075	diphyllobothriasis	Disease
DOID:10079	cysticercosis	Disease
DOID:10080	sparganosis	Disease
DOID:10112	sleeping sickness	Disease
DOID:10113	trypanosomiasis	Disease
DOID:10124	corneal disease	Disease
DOID:10126	keratoconus	Disease
DOID:10128	venous insufficiency	Disease
DOID:10138	xerophthalmia	Disease
DOID:10140	dry eye syndrome	Disease
DOID:10141	asthenopia	Disease
DOID:10155	intestinal cancer	Disease
DOID:10156	ileal neoplasm	Disease
DOID:10159	osteonecrosis	Disease
DOID:10175	optic papillitis	Disease
DOID:10176	neuroretinitis	Disease
DOID:1019	osteomyelitis	Disease
DOID:10192	pleomorphic lipoma	Disease
DOID:10211	cholelithiasis	Disease
DOID:10223	dermatomyositis	Disease
DOID:1023	borderline leprosy	Disease
DOID:10235	Brown's tendon sheath syndrome	Disease
DOID:1024	leprosy	Disease
DOID:10241	thalassemia	Disease
DOID:10242	ehrlichiosis	Disease
DOID:10247	pleurisy	Disease
DOID:1025	tuberculoid leprosy	Disease
DOID:10264	mumps	Disease
DOID:10283	prostate cancer	Disease
DOID:1029	familial periodic paralysis	Disease
DOID:10293	monocular esotropia	Disease
DOID:10300	Raynaud disease	Disease
DOID:10301	parotitis	Disease
DOID:10302	parotid disease	Disease
DOID:10303	sialadenitis	Disease
DOID:10310	viral meningitis	Disease
DOID:10314	endocarditis	Disease
DOID:10316	pneumoconiosis	Disease
DOID:10320	asbestosis	Disease
DOID:10323	byssinosis	Disease
DOID:10324	anthracosilicosis	Disease
DOID:10325	silicosis	Disease
DOID:10328	siderosis	Disease
DOID:10348	blepharophimosis	Disease
DOID:10354	breast fibrocystic disease	Disease
DOID:1037	lymphocytic leukemia	Disease
DOID:10371	yaws	Disease
DOID:10375	suppression amblyopia	Disease
DOID:10376	amblyopia	Disease
DOID:10383	amyotrophic neuralgia	Disease
DOID:10393	secondary hypertrophic osteoarthropathy	Disease
DOID:10398	pneumonic plague	Disease
DOID:104	bacterial infectious disease	Disease
DOID:1040	chronic lymphocytic leukemia	Disease
DOID:10426	Klippel-Feil syndrome	Disease
DOID:10456	tonsillitis	Disease
DOID:10457	Legionnaires' disease	Disease
DOID:10458	legionellosis	Disease
DOID:10459	common cold	Disease
DOID:10460	nasopharyngitis	Disease
DOID:10480	diaphragmatic eventration	Disease
DOID:10485	esophageal atresia	Disease
DOID:10486	intestinal atresia	Disease
DOID:10487	Hirschsprung's disease	Disease
DOID:10488	imperforate anus	Disease
DOID:10533	viral pneumonia	Disease
DOID:10534	stomach cancer	Disease
DOID:10554	meningoencephalitis	Disease
DOID:1056	oculocerebrorenal syndrome	Disease
DOID:10573	osteomalacia	Disease
DOID:10575	calcium metabolism disease	Disease
DOID:10581	metachromatic leukodystrophy	Disease
DOID:10582	Refsum disease	Disease
DOID:10584	retinitis pigmentosa	Disease
DOID:10587	Krabbe disease	Disease
DOID:10588	adrenoleukodystrophy	Disease
DOID:1059	intellectual disability	Disease
DOID:10591	pre-eclampsia	Disease
DOID:10595	Charcot-Marie-Tooth disease	Disease
DOID:106	pleural tuberculosis	Disease
DOID:1060	Hartnup disease	Disease
DOID:10600	chronic tic disorder	Disease
DOID:10602	steatorrhea	Disease
DOID:10603	glucose intolerance	Disease
DOID:10604	lactose intolerance	Disease
DOID:10605	short bowel syndrome	Disease
DOID:10606	blind loop syndrome	Disease
DOID:10607	tropical sprue	Disease
DOID:10608	celiac disease	Disease
DOID:10609	rickets	Disease
DOID:10611	protein-losing enteropathy	Disease
DOID:1062	Fanconi syndrome	Disease
DOID:10629	microphthalmia	Disease
DOID:1063	interstitial nephritis	Disease
DOID:10632	Wolfram syndrome	Disease
DOID:1064	cystinosis	Disease
DOID:10652	Alzheimer's disease	Disease
DOID:1067	open-angle glaucoma	Disease
DOID:10690	mastitis	Disease
DOID:10699	paragonimiasis	Disease
DOID:1070	primary open angle glaucoma	Disease
DOID:10718	giardiasis	Disease
DOID:1073	renal hypertension	Disease
DOID:1074	kidney failure	Disease
DOID:10754	otitis media	Disease
DOID:10755	petrositis	Disease
DOID:10762	portal hypertension	Disease
DOID:10763	hypertension	Disease
DOID:10772	thrombotic thrombocytopenic purpura	Disease
DOID:10773	bubonic plague	Disease
DOID:10782	mesenteric lymphadenitis	Disease
DOID:10783	methemoglobinemia	Disease
DOID:10787	premature menopause	Disease
DOID:10791	frontal sinusitis	Disease
DOID:10794	sphenoid sinusitis	Disease
DOID:1080	filariasis	Disease
DOID:10808	gastric ulcer	Disease
DOID:1082	dirofilariasis	Disease
DOID:10824	malignant hypertension	Disease
DOID:10825	essential hypertension	Disease
DOID:10844	Japanese encephalitis	Disease
DOID:10845	St. Louis encephalitis	Disease
DOID:1085	Edwards syndrome	Disease
DOID:10864	partial third-nerve palsy	Disease
DOID:10865	abducens nerve disease	Disease
DOID:10866	total third-nerve palsy	Disease
DOID:10871	age related macular degeneration	Disease
DOID:1088	meningocele	Disease
DOID:10881	hand, foot and mouth disease	Disease
DOID:10882	epidemic pleurodynia	Disease
DOID:10883	herpangina	Disease
DOID:10887	lepromatous leprosy	Disease
DOID:1089	tethered spinal cord syndrome	Disease
DOID:10892	hypospadias	Disease
DOID:10907	microcephaly	Disease
DOID:10908	hydrocephalus	Disease
DOID:1091	tooth disease	Disease
DOID:10914	amnestic disorder	Disease
DOID:10915	Wernicke-Korsakoff syndrome	Disease
DOID:10923	sickle cell anemia	Disease
DOID:10941	intracranial aneurysm	Disease
DOID:10944	tongue disease	Disease
